assembly_acc,assembly_name,organism,ftp_path,biosample,bioproject,assembly_level
GCF_020683785.1,ASM2068378v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/683/785/GCF_020683785.1_ASM2068378v1,SAMN21593433,,
GCF_020683765.1,ASM2068376v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/683/765/GCF_020683765.1_ASM2068376v1,SAMN21593432,,
GCF_020683745.1,ASM2068374v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/683/745/GCF_020683745.1_ASM2068374v1,SAMN21593431,,
GCF_020683725.1,ASM2068372v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/683/725/GCF_020683725.1_ASM2068372v1,SAMN21593430,,
GCF_020683705.1,ASM2068370v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/683/705/GCF_020683705.1_ASM2068370v1,SAMN21593429,,
GCF_020683685.1,ASM2068368v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/683/685/GCF_020683685.1_ASM2068368v1,SAMN21593428,,
GCF_020683665.1,ASM2068366v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/683/665/GCF_020683665.1_ASM2068366v1,SAMN21593427,,
GCF_020683645.1,ASM2068364v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/683/645/GCF_020683645.1_ASM2068364v1,SAMN21593426,,
GCF_020683625.1,ASM2068362v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/683/625/GCF_020683625.1_ASM2068362v1,SAMN21593425,,
GCF_020683605.1,ASM2068360v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/683/605/GCF_020683605.1_ASM2068360v1,SAMN21593424,,
GCF_020683585.1,ASM2068358v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/683/585/GCF_020683585.1_ASM2068358v1,SAMN21593423,,
GCF_020683565.1,ASM2068356v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/683/565/GCF_020683565.1_ASM2068356v1,SAMN21593420,,
GCF_020683545.1,ASM2068354v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/683/545/GCF_020683545.1_ASM2068354v1,SAMN21593414,,
GCF_020683525.1,ASM2068352v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/683/525/GCF_020683525.1_ASM2068352v1,SAMN21593412,,
GCF_020683505.1,ASM2068350v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/683/505/GCF_020683505.1_ASM2068350v1,SAMN21593411,,
GCF_020683485.1,ASM2068348v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/683/485/GCF_020683485.1_ASM2068348v1,SAMN21593408,,
GCF_020683465.1,ASM2068346v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/683/465/GCF_020683465.1_ASM2068346v1,SAMN21593422,,
GCF_020683445.1,ASM2068344v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/683/445/GCF_020683445.1_ASM2068344v1,SAMN21593421,,
GCF_020683425.1,ASM2068342v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/683/425/GCF_020683425.1_ASM2068342v1,SAMN21593419,,
GCF_020683405.1,ASM2068340v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/683/405/GCF_020683405.1_ASM2068340v1,SAMN21593418,,
GCF_020683385.1,ASM2068338v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/683/385/GCF_020683385.1_ASM2068338v1,SAMN21593417,,
GCF_020683365.1,ASM2068336v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/683/365/GCF_020683365.1_ASM2068336v1,SAMN21593416,,
GCF_020683345.1,ASM2068334v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/683/345/GCF_020683345.1_ASM2068334v1,SAMN21593415,,
GCF_020683325.1,ASM2068332v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/683/325/GCF_020683325.1_ASM2068332v1,SAMN21593413,,
GCF_020683305.1,ASM2068330v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/683/305/GCF_020683305.1_ASM2068330v1,SAMN21593410,,
GCF_020683285.1,ASM2068328v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/683/285/GCF_020683285.1_ASM2068328v1,SAMN21593409,,
GCF_019454365.1,ASM1945436v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/454/365/GCF_019454365.1_ASM1945436v1,SAMN18928235,,
GCF_905183025.1,MAF01v1,Mycobacterium tuberculosis variant africanum (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/905/183/025/GCF_905183025.1_MAF01v1,SAMEA104679304,,
GCF_905183075.1,MAF65v1,Mycobacterium tuberculosis variant africanum (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/905/183/075/GCF_905183075.1_MAF65v1,SAMEA104679305,,
GCF_014217195.1,ASM1421719v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/217/195/GCF_014217195.1_ASM1421719v1,SAMN14969386,,
GCF_014217175.1,ASM1421717v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/217/175/GCF_014217175.1_ASM1421717v1,SAMN14969387,,
GCF_002504245.2,ASM250424v2,Mycobacterium tuberculosis variant bovis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/504/245/GCF_002504245.2_ASM250424v2,SAMN07709478,,
GCF_009857015.1,ASM985701v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/857/015/GCF_009857015.1_ASM985701v1,SAMN10417144,,
GCF_009834005.1,ASM983400v1,Mycobacterium tuberculosis (high G+C Gram-positive bacteria),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/834/005/GCF_009834005.1_ASM983400v1,SAMN10417147,,
